1.43,1.4,2.8,3.09,
0.92,0.55,15.1,15.27,
2.44,3.4,,,
0.01,0.55,9.1,8.51,8.02
2.37,1.4,14.2,2.5,2.16
1.5,1.4,3.2,3.71,
1.1,1.9,9,,
0.74,1.9,1.01,0.69,
2.99,3.84,7.31,7.51,
0.11,0.55,1.9,0.23,
1.48,1.4,6.02,5.93,
1.46,1.9,1.46,,
0.96,12.18,,,
0.77,1.4,10.11,12.47,12.85
1.3,1.4,7.31,8.14,
1.81,0.55,9.1,15.2,15.8
1.29,1.4,9.1,1.03,
1.52,1.9,14.2,14.65,
0.72,3.15,,,
1.94,1.4,15.1,15.39,
0.41,1.54,,,
0.19,0.7,1.9,2.04,
1.04,1.35,,,
0.52,0.5,,,
1.84,1.4,0.7,0.42,
1.49,1.02,,,
2.95,2.31,,,
1.42,2.55,,,
1.89,2.64,,,
1.47,0.19,,,
1.09,0.53,,,
2.86,1.06,,,
0.56,0.55,1.9,2.2,
2.92,2.27,,,
0.36,1.4,1.9,1.99,
1.54,0.55,1.4,0.04,
2.27,0.78,,,
1.23,2.57,,,
1.86,1.9,1.4,0.5,
0.46,0.57,,,
